id,name
1270260,State of Haryana
1269750,Republic of India
1271231,Ghura
1257986,Rumbak
1348747,Bankra
1252738,Yeola
1252744,Yellapur
1252773,Yaval
1252840,Wokha
1252925,Warora
1252946,Waraseoni
1253041,Wadi
1253132,Virarajendrapet
1253133,Virar
1253219,Vettaikkaranpudur
1253330,Vedaraniyam
1253340,Vayalar
1253357,Vasudevanallur
1253605,Vadakku Valliyur
1253671,Usilampatti
1253698,Uravakonda
1253702,Uran
1253736,Upleta
1253744,Uppal Kalan
1253747,Unnao
1253750,Unjha
1253786,Un
1253805,Umreth
1253807,Umred
1254043,Turaiyur
1254282,Todaraisingh
1254304,Titlagarh
1254317,Tisaiyanvilai
1254335,Tiruvalla
1254727,Terdal
1254732,Teonthar
1254794,Tekkali
1254797,Tekari
1254868,Tarn Taran
1254909,Tarana
1254953,Tanuku
1255027,Tanakpur
1255076,Talwara
1255104,Taloda
1255121,Taliparamba
1255131,Taleigao
1255211,Taki
1255344,Suriapet
1255483,Suluru
1255488,Sultanpur
1255551,Suket
1255597,Suar
1255620,Srivaikuntam
1255621,Srisailam
1255625,Sriramnagar
1255630,Sriperumbudur
1255714,Sopur
1255762,Songadh
1255788,Sonari
1255860,Sojat
1255884,Sohagpur
1255925,Siwana
1255927,Siwan
1255963,Sitarganj
1256029,Siruguppa
1256039,Sirsilla
1256176,Singarayakonda
1256184,Singanallur
1256333,Sikka
1256369,Sidhi
1256372,Sidhauli
1256382,Siddhapur
1256418,Shujalpur
1256539,Shiggaon
1256558,Shertallai
1256722,Shahpur
1256913,Sehore
1256922,Secunderabad
1256929,Sayla
1256959,Savda
1256989,Sathyamangalam
1257093,Sarwar
1257191,Sardulgarh
1257198,Sardarshahr
1257307,Saoner
1257409,Sangola
1257410,Sangod
1257429,Sangaria
1257456,Sandur
1257477,Sanchor
1257481,Sanawad
1257528,Samdari
1257542,Sambalpur
1257698,Sakleshpur
1257751,Sainthia
1257936,Rusera
1258111,Robertsganj
1258229,Remuna
1258247,Rehli
1258278,Raybag
1258294,Raxaul
1258342,Ratlam
1258386,Rasipuram
1258584,Rampura
1258952,Raisen
1258967,Raipur
1259154,Pusad
1259243,Punalur
1259263,Puliyangudi
1259508,Pithapuram
1259535,Piriyapatna
1259552,Pipri
1259608,Pipar
1259693,Pilani
1259701,Pihani
1259879,Periyakulam
1260040,Pattukkottai
1260129,Patharia
1260135,Pathardi
1260141,Pathalgaon
1260178,Patamundai
1260421,Paonta Sahib
1260527,Pandua
1260612,Panagar
1260718,Pali
1261012,Osmanabad
1261110,Nuzvid
1261205,Nongstoin
1261342,Neem ka Thana
1261369,Nimbahera
1261539,Nelamangala
1261667,Navalgund
1261705,Nattam
1259229,Pune
1273840,Connaught Place
1273293,National Capital Territory of Delhi
1273294,Delhi
1264031,Malpura
1266510,Kiraoli
1279275,Aghapur
1268571,Kakarmatha
1267806,Karchana
1273690,Dahmi
1276632,Bechiwara
1255053,State of Tamil Nadu
1259434,Polur
1267701,State of Karnataka
1268189,Kanakapura
1268980,Jharol
1257896,Sadabad
1273909,Churachandpur
1276533,Belgaum
1269920,Hubli
1278647,Union Territory of Andaman and Nicobar Islands
1259385,Port Blair
1254710,Tezpur
1252758,Yelahanka
1252770,Yavatmal
1252822,Yadgir
1252887,Wellington
1252892,Wazirganj
1252908,Washim
1252919,Warud
1252930,Waris Aliganj
1252958,Wankaner
1252960,Wani
1252997,Walajapet
1253013,Wai
1253074,Vyara
1253077,Vuyyuru
1253091,Vite
1253095,Visnagar
1253127,Viravanallur
1253150,Vinukonda
1253166,Villupuram
1253182,Vikarabad
1253193,Vijapur
1253200,Vidisha
1253220,Vetapalem
1253242,Vepagunta
1253251,Venkatagiri
1253275,Vemalwada
1253278,Velur
1253315,Vejalpur
1253352,Vattalkundu
1253363,Vasind
1253367,Vasco Da Gama
1253374,Vasa
1253392,Varkkallai
1253403,Varangaon
1253437,Vaniyambadi
1253452,Vandavasi
1253468,Valsad
1253472,Valparai
1253482,Vallabh Vidyanagar
1253512,Valabhipur
1253544,Vaikam
1253545,Vaijapur
1253577,Vadnagar
1253578,Vadlapudi
1253579,Vadippatti
1253595,Vadamadurai
1253610,Vada
1253623,Uttiramerur
1253635,Uttamapalaiyam
1253638,Utraula
1253754,Unhel
1253782,Una
1253783,Una
1253785,Un
1253860,Umarkot
1253861,Umarkhed
1253863,Umaria
1253870,Umarga
1253888,Ullal
1253894,Ulhasnagar
1253944,Udumalaippettai
1253956,Udhampur
1253958,Udgir
1253972,Udankudi
1253977,Udalguri
1253984,Udaipura
1253985,Udaipur
1253987,Udaipur
1254000,Uchana
1254069,Tundla
1254080,Tumsar
1254102,Tulsipur
1254111,Tuljapur
1254131,Tufanganj
1254133,Tuensang
1254241,Tonk
1254249,Tondi
1254274,Tohana
1254283,Todabhim
1254309,Titagarh
1254322,Cheyyar
1254342,Thiruthani
1254343,Tiruttangal
1254346,Tirur
1254347,Tiruppuvanam
1254373,Tirumala
1254377,Tirukkoyilur
1254385,Tiruchengode
1254390,Tiruchchendur
1254396,Tirthahalli
1254420,Tiptur
1254432,Tinsukia
1254436,Tinnanur
1254444,Tindivanam
1254481,Tilhar
1254534,Tikamgarh
1254538,Tijara
1254570,Thoubal
1254624,Thasra
1254638,Tharad
1254673,Thana Bhawan
1254675,Than
1254694,Thakurganj
1254695,Thakurdwara
1254744,Thenkasi
1254745,Teni
1254780,Thalassery
1254787,Telhara
1254795,Tekkalakote
1254813,Teghra
1254858,Tasgaon
1254880,Tarikere
1254904,Tharangambadi
1254908,Taranagar
1254910,Taramangalam
1254912,Tarakeswar
1254948,Taoru
1255004,Tandur
1255023,Tanda
1255024,Tanda
1255082,Talwandi Bhai
1255122,Talikota
1255134,Talegaon Dabhade
1255143,Talcher
1255212,Takhatpur
1255213,Takhatgarh
1255224,Tajpur
1255254,Tadpatri
1255264,Tadepallegudem
1255265,Tadepalle
1255346,Surianwan
1255349,Surendranagar
1255361,Suratgarh
1255372,Surandai
1255396,Supaul
1255425,Sunel
1255434,Sundarnagar
1255449,Sunam
1255482,Sulya
1255484,Sulur
1255616,Srivilliputhur
1255619,Srivardhan
1255631,Srinivaspur
1255643,Sri Madhopur
1255646,Karanpur
1255654,Sri Dungargarh
1255667,Soygaon
1255704,Soron
1255705,Soro
1255712,Sorada
1255744,Sonipat
1255792,Sonamukhi
1255816,Sompeta
1255823,Someshwar
1255850,Solan
1255858,Sojitra
1255870,Sohna
1255947,Sivakasi
1255950,Sivagiri
1255951,Sivagiri
1255983,Sitamarhi
1255995,Siswa Bazar
1256003,Sisauli
1256025,Sirur
1256027,Sirumugai
1256040,Sirsi
1256047,Sirsi
1256050,Sirsaganj
1256052,Sirsa
1256064,Sironj
1256067,Sirohi
1256075,Sirkazhi
1256087,Sirhind
1256119,Sinnar
1256124,Singur
1256207,Sindhnur
1256214,Sindgi
1256246,Simdega
1256269,Sillod
1256287,Silchar
1256295,Silao
1256320,Sikar
1256322,Sikandra Rao
1256328,Sikandarpur
1256329,Sikandarabad
1256335,Sijua
1256340,Sihora
1256343,Sihor
1256363,Sidlaghatta
1256377,Siddipet
1256422,Shrirampur
1256426,Shrigonda
1256431,Shorapur
1256432,Shoranur
1256435,Sholinghur
1256468,Shishgarh
1256475,Shirpur
1256483,Shirhatti
1256489,Shirdi
1256529,Shikohabad
1256537,Shikarpur
1256569,Sherkot
1256572,Sherghati
1256593,Sheopur
1256597,Sheohar
1256598,Sheoganj
1256620,Shegaon
1256639,Shantipur
1256659,Shamsabad
1256660,Shamsabad
1256671,Shamli
1256673,Shamgarh
1256698,Shaikhpura
1256706,Shahpura
1256713,Shahpur
1256715,Shahpur
1256720,Shahpur
1256728,Shahjahanpur
1256731,Shahi
1256735,Shahganj
1256739,Shahdol
1256750,Shahada
1256752,Shahabad
1256753,Shahabad
1256755,Shahabad
1256759,Shahabad
1262963,State of Mizoram
1256812,Serchhip
1256814,Seram
1256823,Seoni Malwa
1256826,Seoni
1256828,Seondha
1256832,Seohara
1256854,Sendhwa
1256967,Savanur
1256968,Savantvadi
1256974,Sausar
1256983,Saundatti
1256995,Sattur
1257001,Sattenapalle
1257060,Satana
1257066,Sasvad
1257149,Sarkhej
1257196,Sardhana
1257219,Sarauli
1257237,Sarangpur
1257259,Saraipali
1257260,Sarai Mir
1257268,Sarai Akil
1257354,Sankrail
1257369,Sankeshwar
1257402,Sangrur
1257436,Sangamner
1257461,Sandi
1257476,Sancoale
1257482,Sanaur
1257486,Sanand
1257498,Samthar
1257503,Samrala
1257539,Sambhar
1257540,Sambhal
1257545,Samba
1257551,Samastipur
1257565,Samalkot
1257566,Samalkha
1257587,Salur
1257588,Salumbar
1257638,Salaya
1257673,Sakti
1257749,Saint Thomas Mount
1257762,Sailu
1257771,Saiha
1257776,Saidpur
1257794,Sahibganj
1257799,Sahawar
1257802,Sahaspur
1257804,Saharsa
1257830,Sagauli
1257851,Sagar
1257854,Safipur
1257855,Safidon
1257865,Sadri
1257890,Sadaseopet
1257895,Sadalgi
1257928,Sabalgarh
1257940,Rura
1257951,Rupnagar
1258012,Rudarpur
1258061,Ron
1258076,Rohtak
1258099,Roha
1258109,Robertsonpet
1258124,Risod
1258126,Rishra
1258140,Ringas
1258164,Richha
1258178,Rewari
1258186,Revelganj
1258201,Repalle
1258203,Reoti
1258207,Renukut
1258213,Renigunta
1258270,Razam
1258290,Rayadrug
1258291,Rayachoti
1258292,Raya
1258295,Rawatsar
1258297,Rawatbhata
1258307,Raver
1258347,Ratia
1258352,Rath
1258362,Ratanpur
1258366,Ratangarh
1258380,Rasra
1258406,Rapar
1258449,Ranipur
1258470,Raniganj
1258474,Ranibennur
1258477,Rania
1258492,Rangia
1258501,Rangapara
1258534,Ranavav
1258546,Ranaghat
1258553,Ramtek
1258581,Rampur Hat
1258592,Rampura
1258598,Rampur
1258639,Ramnagar
1258658,Ramjibanpur
1258677,Ramgarh
1258686,Ramgarh
1258692,Ramganj Mandi
1258698,Rameswaram
1258726,Ramapuram
1258756,Ramachandrapuram
1258786,Rajura
1258795,Rajula
1258797,Rajsamand
1258803,Rajpura
1258815,Rajpur
1258816,Rajpur
1258819,Rajpipla
1258831,Raj Nandgaon
1258843,Rajmahal
1258859,Rajgurunagar
1258864,Rajgir
1258868,Rajgarh
1258869,Rajgarh
1258875,Rajgarh
1258876,Rajgarh
1258891,Rajauri
1258916,Rajapalaiyam
1258922,Rajampet
1258928,Rajaldesar
1258930,Rajakhera
1258950,Raisinghnagar
1258993,Raikot
1259004,Raigarh Fort
1259005,Raigarh
1259019,Rahuri
1259026,Rahimatpur
1259034,Rahatgarh
1259049,Raghunathpur
1259056,Raghogarh
1259060,Rafiganj
1259064,Rae Bareli
1259069,Radhanpur
1259083,Rabkavi
1259108,Qasba
1259110,Qadian
1259123,Puttur
1259124,Puttur
1259157,Purwa
1259166,Purnia
1259177,Purna
1259190,Puranpur
1259210,Pupri
1259222,Punjai Puliyampatti
1259228,Punganuru
1259231,Pundri
1259239,Punasa
1259244,Punahana
1259251,Pulwama
1259264,Pulivendla
1259272,Pulgaon
1259283,Pukhrayan
1259312,Proddatur
1259338,Pratapgarh
1259388,Porsa
1259400,Poonamalle
1259408,Ponnuru
1259409,Ponneri
1259411,Ponnani
1259429,Ponda
1259440,Pollachi
1259446,Polasara
1259460,Pokaran
1259530,Piro
1259541,Piravam
1259554,Pipraich
1259630,Pinjaur
1259638,Pindwara
1259647,Pinahat
1259652,Pimpri
1259680,Pilkhua
1259686,Pilibhit
1259688,Pilibangan
1259735,Phulpur
1259744,Phulera
1259773,Phirangipuram
1259775,Phillaur
1259784,Phek
1259801,Phaphund
1259811,Phaltan
1259813,Phalodi
1259818,Phalauda
1259827,Phagwara
1259841,Petlad
1259855,Perundurai
1259857,Perumpavur
1259878,Periyanayakkanpalaiyam
1259890,Peravurani
1259892,Peranampattu
1259905,Penukonda
1259907,Penugonda
1259916,Pennagaram
1259917,Pennadam
1259931,Pen
1259939,Pehowa
1259954,Peddapuram
1259961,Peddapalli
1259986,Pedana
1259994,Payyannur
1260003,Pawayan
1260014,Pavagada
1260022,Pauni
1260035,Patur
1260082,Patnagarh
1260107,Patiala
1260120,Pathri
1260134,Pathardih
1260137,Pathankot
1260156,Pataudi
1260168,Patancheru
1278341,State of Arunachal Pradesh
1260206,Pasighat
1260210,Pasan
1260221,Parvatsar
1260222,Parvatipuram
1260228,Partur
1260274,Parola
1260290,Parli Vaijnath
1260296,Parlakimidi
1260313,Parichhatgarh
1260335,Pardi
1260354,Paravur
1260368,Parasia
1260387,Paramagudi
1260393,Paradip Garh
1260406,Pappinisseri
1260417,Papanasam
1260434,Panvel
1260448,Panruti
1260476,Panipat
1260482,Panihati
1260543,Pandhurna
1260546,Pandharpur
1260553,Pandavapura
1260667,Paloncha
1260674,Palmaner
1260681,Pallippatti
1260685,Pallikondai
1260694,Pallappatti
1260697,Palladam
1260702,Palkonda
1260707,Palitana
1260713,Palia Kalan
1260728,Palakkad
1260730,Palghar
1260734,Palera
1260771,Palasa
1260777,Palanpur
1260792,Palakollu
1260793,Palakkodu
1260824,Pakaur
1260830,Pakala
1260833,Paithan
1260868,Pahasu
1260909,Padrauna
1260911,Padra
1260918,Padmanabhapuram
1260938,Padampur
1260940,Padampur
1260954,Pachperwa
1260959,Pachora
1261008,Ottappalam
1261039,Orai
1261066,Okha
1261068,Ojhar
1261086,Obra
1261122,Nurpur
1261181,North Lakhimpur
1261186,North Guwahati
1261227,Nokha
1261234,Nohar
1261242,Noamundi
1261285,Nirmali
1261309,Nipani
1261375,Nimaparha
1261378,Nimaj
1261382,Nilokheri
1261394,Nileshwar
1261396,Nilanga
1261401,Nilakottai
1261402,Nilgiri
1261415,Nihtaur
1261446,Nidadavole
1261451,Nichlaul
1261470,Neyyattinkara
1261512,Neral
1261517,Nepa Nagar
1261532,Nellikkuppam
1261553,Nedumangad
1261567,Nayudupeta
1261598,Nawashahr
1261613,Nawalgarh
1261614,Niwai
1261631,Nawada
1261639,Nawabganj
1261641,Nawabganj
1261642,Nawabganj
1261647,Nawa
1261669,Navadwip
1261672,Nautanwa
1261696,Naugachhia
1261711,Nathdwara
1261721,Nasrullahganj
1261722,Nasriganj
1261726,Naspur
1261727,Nasirabad
1261736,Narwar
1261739,Narwana
1261748,Narsipatnam
1261752,Narsinghgarh
1261754,Narsimhapur
1261771,Narnaund
1261772,Narnaul
1261800,Nargund
1261810,Naregal
1261823,Narayanpet
1261828,Narayangarh
1261835,Naravarikuppam
1261839,Narauli
1261848,Narasaraopet
1261852,Narasapur
1261853,Narasannapeta
1261871,Naraini
1261872,Naraina
1261882,Napasar
1261901,Nanpara
1261910,Nanjangud
1261922,Nangal Township
1261927,Nandyal
1261931,Nandurbar
1261932,Nandura
1261957,Nandikotkur
1261960,Nandigama
1261971,Nandgaon
1261998,Nanauta
1262013,Namrup
1262034,Nambiyur
1262040,Namagiripettai
1262065,Nalhati
1262067,Nalgonda
1262073,Naldurg
1262089,Nakur
1262092,Naksalbari
1262097,Nakodar
1262109,Najibabad
1262115,Nainwa
1262116,Nainpur
1262117,Naini Tal
1262131,Naihati
1262140,Nahorkatiya
1262151,Nahan
1262187,Nagod
1262200,Nagina
1262204,Nagercoil
1262216,Nagaur
1262230,Nagar Karnul
1262240,Nagari
1262266,Nagamangala
1262292,Nadiad
1262296,Nadbai
1262302,Nadapuram
1262318,Nabinagar
1262319,Nabha
1262332,Muzaffarnagar
1262338,Muvattupula
1262346,Muttupet
1262380,Musiri
1262382,Mushabani
1262395,Murwara
1262410,Murtajapur
1262419,Murliganj
1262426,Morinda
1262444,Murbad
1262453,Muradnagar
1262463,Munnar
1262482,Munger
1262484,Mungeli
1262485,Mungaoli
1262491,Mundwa
1262497,Mundra
1262510,Mundgod
1262516,Mundargi
1262534,Multai
1262546,Mulki
1262553,Mulgund
1262562,Mulbagal
1262566,Mulappilangad
1262574,Mul
1262578,Muktsar
1262591,Mukher
1262596,Mukerian
1262624,Muhammadabad
1262625,Muhammadabad
1262626,Muhammadabad
1262651,Mudkhed
1262663,Mudhol
1262664,Mudgal
1262669,Muddebihal
1262672,Mudbidri
1262678,Mubarakpur
1262710,Motihari
1262734,Morwa
1262740,Morsi
1262775,Morbi
1262783,Morar
1262794,Moram
1262801,Moradabad
1262824,Mon
1262843,Mokokchung
1262852,Mokama
1262863,Moirang
1262951,Moga
1262958,Modasa
1262988,Misrikh
1263012,Mirialguda
1263015,Mirganj
1263021,Miranpur Katra
1263022,Miranpur
1263034,Minjur
1263051,Milak
1263057,Mihona
1263083,Mhasvad
1263101,Mettur
1263103,Mettupalayam
1263120,Merta
1263142,Mendarda
1263148,Memari
1263151,Melur
1263185,Mehndawal
1263195,Mehekar
1263220,Medinipur
1263247,Mayiladuthurai
1263255,Mayang Imphal
1263275,Mawana
1263280,Mavoor
1263285,Mavelikara
1263293,Maur
1263300,Mauganj
1263303,Maudaha
1263306,Mau Aimma
1263309,Mau
1263311,Mau
1263331,Mattanur
1263395,Matabhanga
1263427,Masaurhi Buzurg
1263494,Marmagao
1263504,Markapur
1263522,Mariani
1263523,Mariahu
1263528,Marhaura
1263532,Margherita
1263564,Marakkanam
1263567,Marahra
1263580,Mapuca
1263591,Manwat
1263594,Manvi
1263610,Manthani
1263622,Mansa
1263623,Mansa
1263659,Mannargudi
1263661,Mannarakkat
1263664,Manmad
1263678,Mankachar
1263684,Manjlegaon
1263691,Manjhanpur
1263694,Manjeri
1263723,Manihari
1263730,Maniar
1263744,Mangrul Pir
1263751,Mangrol
1263787,Mangaldai
1263917,Mandal
1265007,Laungowal
1266258,Kolasib
1267923,Kapren
1269670,Islamnagar
1270800,Gudiyatham
1271213,Giddalur
1271929,Fatehganj West
1273892,Churu
1275050,Burla
1275066,Burhar
1275068,Burhanpur
1277362,Bandikui
1277409,Banat
1278100,Ayakudi
1278343,Arumuganeri
1278742,Amod
1279227,Ahmadpur
1253372,Vasai
1271881,Firozpur Jhirka
1264542,State of Madhya Pradesh
1262191,Nagla Dhimar
1276559,Belanganj
1258899,State of Rajasthan
1276808,Barwara
1267506,Kathara
1270675,Gunjrauliya
1263706,State of Manipur
1260607,Panaji
1271476,Guwahati
1269321,Jammu
1267648,Karur
1252646,Keelakarai
1252653,Zunheboto
1252692,Zamania
1252699,Zahirabad
1252745,Yellandu
1252795,Yanam
1252885,Wer
1252956,Wanparti
1253080,Vriddhachalam
1253105,Visavadar
1253113,Virudunagar
1255383,Surajgarh
1255635,Srinagar
1262209,Nagda
1262253,Nagar
1269665,Islampur
1273880,Clement Town
1275016,Byadgi
1275019,Buxar
1277338,Banga
1277358,Bandipura
1277398,Banda
1278122,Avanigadda
1278320,Asandh
1279334,Adra
1276151,Bhanpuri
1257567,Samalkha
1261481,New Delhi
1268379,Kalkaji Devi
1254129,Tughlakabad
1269734,Indraprast
1271951,Faridabad
1277558,Ballabgarh
1259523,Pirthala
1260637,Palwal
1278146,Aurangabad
1263629,Manpur
1270000,Hodal
1266073,Kosi
1253626,State of Uttar Pradesh
1274343,Chhata
1257810,Sahar
1269501,Jait
1263364,Mathura
1271059,Gokul
1271956,Farah
1256323,Sikandra
1279259,Agra
1276115,Bharkol
1271900,Fatehpur Sikri
1276128,Bharatpur
1256772,Sewar
1264720,Luharu
1270495,Halena
1260124,Pathena
1264323,Mahwah
1260072,Patoli
1264746,Lotwara
1263630,Manpur
6698412,Abhaneri
1272328,Dubbi
1276188,Bhandarej
1273369,Dausa
1269142,Jatwara
1277225,Banskhoh
1276767,Basi
1268000,Kanota
1269515,Jaipur
1278809,amer
1272978,Dhand
1274671,Chandwaji
1263649,Manoharpur
1256705,Shahpura
1276373,Bhabhru
1259347,Pragpura
1265961,Kotputli
1276589,Behror
1261330,Nimrana
1256727,Shahjahanpur
1270785,Gugal Kota
1254967,Tankri
1276666,Bawal
1277698,Bakapur
1272822,Dharuhera
1277803,Bahora
1267621,Kasan
1267034,Khandsa
1270642,Gurgaon
1273292,Delhi Cantonment
1264352,Mahrauli
6619396,Asian Games Village
1273435,Darya Ganj
1269125,Jawaharnagar
1253405,Varanasi
1258642,Ramnagar
1262634,Mughal Sarai
1271284,Ghoghapur
1269552,Jahangirabad
1274511,Chaukhandi
1275907,Bhita
1277167,Bara
1276986,Bargarh
1273771,Dabhaura
1257022,Satna
1255873,Sohawal
1269172,Jaso
1260454,Panna
1278007,Badarpur
1263690,Manjhaoli
1275120,Bulandshahr
1256532,Shikarpur
1279231,Ahmadgarh
1272653,Dibai
1261837,Naraura
1258665,Ramghat
1257356,Sankra
1257800,Sahaswan
1257773,Saifullahganj
1253918,Ujhani
1268546,Kakora
1268540,Kakrala
1253673,Usehat
1259061,Rafiabad Kalan
1262994,Mirzapur
1269447,Jalalabad
1278990,Allahganj
1276588,Behta Gokul
1270370,Hardoi
1256654,Shamspur
1268726,Kachhauna
1257459,Sandila
1268592,Kaithan Khera
1264085,Malihabad
1264362,Mahmudnagar
1268545,Kakori
1275683,Bijnaur
1264733,Lucknow
1274589,Charbagh
1270890,Goshainganj
1257005,Satrikh
1252698,Zaidpur
1254536,Tikaitnagar
1260364,Paraspur
1266617,Khurasa
1258244,Rehra Bazar
1276184,Bhandaria
1272424,Domariaganj
1269639,Itwa
1271030,Golhaura
1274204,Chilia
1275522,Birdpur
1279018,Aligarh
1264418,State of Maharashtra
1278302,Asegaon
1269372,Jamalpur
1264773,Loni
1255895,Sodarpur
1256248,Simauri
1258972,Raipur
1253986,Udaipur
1258834,Rajnagar
1267311,Kelwa
1273143,Desuri
1260716,Pali
1268865,Jodhpur
1271889,Fedusar
1269507,Jaisalmer
1265944,Kotri
1259148,Pushkar
1279159,Ajmer
1267995,Kanpur
1273854,Collectorganj
1265567,Kunwar
1275715,State of Bihar
1271439,Gaya
1275389,Bodh Gaya
1275339,Mumbai
6619349,Breach Candy
1271181,Girgaum
1269320,State of Jammu and Kashmir
1252797,Yamunanagar
1270855,Govindgarh
1268525,Kala
1267154,Khajuraho
1270770,State of Gujarat
1257568,Samalji
1266776,Kheradi
1274369,Chhala
1257921,Sabarmati
1279233,Ahmadabad
1255175,Talaja
1262219,Nagasari
1273287,Delvada
1271155,Union Territory of Daman and Diu
1271090,Gogola
1272502,Diu
1272371,Dores
1259480,Podame
1273541,Dangrawari
1262154,Nagwa
1278629,State of Andhra Pradesh
1445294,Dosuwada
1278277,Asirgarh
1261029,State of Odisha
1257073,Sason
1267826,Kararkhera
1276201,Bhamora
1275793,Bhundsi
1260877,Paharganj
1269519,Jaipur
1270644,Gurgaon
1257905,Sabzi Mandi
6993352,Padampur
6994366,Milkia
6994417,Nagaria Ahiran
6994764,Manjha
1253916,Ujiarpur
1262995,Mirzapur
1279262,agra
1270171,Haveri
1252765,Yechagam
1260086,Patna
8131499,Konkan Division
1264527,Chennai
6695236,Kanija Bhavan
1266128,Koraput
1267254,State of Kerala
1167718,Punch
1261913,Nangloi Jat
8051054,Chittaranjan Park
1258847,Rajkot
1266146,Kora
1265169,Lalganj
1269844,Hyderabad
1269843,Hyderabad
1264089,Mali and Munjeri
7304082,Vazhuthacaud
1465730,Park Town
1254661,Thane
1269743,Indore
1274744,Union Territory of Chandigarh
1274746,Chandigarh
1259223,State of Punjab
1268782,Jalandhar
1265874,Kozhikode
1265873,Calicut
8131500,Nagpur Division
1262180,Nagpur
1254176,Trimulgherry
6690107,Kakaguda
1269439,Jalalpur
1271308,Ghaziabad
1272018,Ernakulam
1269633,Jabalpur
1253573,Vadodara
1270101,State of Himachal Pradesh
1256237,Shimla
1254360,Tirupati
1272892,Dhar
1268295,Kalyan
1263780,Mangalore
1274220,Chikmagalur
1272013,Erode
1256515,Shimoga
1262321,Mysore
1271715,Gandhinagar
1264521,Madurai
1444366,State of Uttarakhand
1278010,Badarinath
1265911,Kottayam
1257845,Sagar
1274165,Chinchvad
1275841,Bhopal
1253184,Vijayawada
1272140,Dwarka
1270498,Haldwani
1252942,Wardha
1256436,Solapur
1262374,Mussoorie
1259424,Union Territory of Puducherry
1259425,Puducherry
1271157,State of Goa
1278253,State of Assam
1263214,Meerut
1261529,Nellore
1252881,State of West Bengal
1270396,Haora
8131498,Aurangabad Division
1278149,Aurangabad
1270022,Hisar
1270583,Gwalior
1254361,Tirunelveli
1254089,Tumkur
1263207,State of Meghalaya
1256523,Shillong
1279228,Ahmadnagar
1254649,Thanjavur
1278974,Almora
1279105,Akola
1270239,Hassan
